sherdogId,ourId,name,appearances,dwcsRecord,firstDwcsDate,bestDwcsResult,preDwcsWins,preDwcsLosses,preDwcsDraws,preDwcsSource,feederOrg,feederTier,feederRelFactor,ageAtDwcs,gotContract,ufcFights,ufcWins,ufcLosses,settledEloGain,eloAt1yr,eloAt2yr,reachedTop15
Taylor-Johnson-232443,,Taylor Johnson,1,0-1,2019-08-06,noWin,,,,none,,,,,0,0,0,0,,,,0
Brok-Weaver-53819,4ab925019d108a41,Brok Weaver,1,1-0,2019-08-13,decisionWin,13,4,0,crosswalk,Square Ring Promotions,tier4,0.9744,27,1,3,1,2,-4.2,1489.1,1468.1,0
Devin-Smyth-224885,,Devin Smyth,1,0-1,2019-08-13,noWin,,,,none,,,,,0,0,0,0,,,,0
Herdem-Alacabek-180227,,Herdem Alacabek,1,0-1,2019-08-13,noWin,,,,none,,,,,0,0,0,0,,,,0
Ray-Rodriguez-78078,389b2776826e2183,Ray Rodriguez,1,0-1,2019-08-13,noWin,15,5,0,crosswalk,LFA,tier3,1.0206,31,1,2,0,2,-6,,1462.8,0
Sarah-Alpar-82261,44852969f473e28a,Sarah Alpar,1,1-0,2019-08-13,finishWin,8,4,0,crosswalk,LFA,tier3,1.0206,28,1,2,0,2,-7.3,,1477.3,0
Shanna-Young-126277,ec2c1c878d169469,Shanna Young,1,0-1,2019-08-13,noWin,6,1,0,crosswalk,King of the Cage,tier3,1.0041,28,1,4,1,3,-12,1482.8,1482.8,0
Tony-Gravely-210575,e3c4bca51aa2bdd4,Tony Gravely,1,1-0,2019-08-13,finishWin,18,5,0,crosswalk,CES MMA,tier4,0.9367,27,1,8,4,4,-5.4,1478.5,1502.7,0
William-Knight-282383,08b1e6f4c8b49a3c,William Knight,2,2-0,2019-08-13,finishWin,4,0,0,crosswalk,PFC,tier4,1.0266,31,1,7,3,4,-11.2,,1496.4,0
Desmond-Torres-251669,,Desmond Torres,1,0-1,2019-08-20,noWin,,,,none,,,,,0,0,0,0,,,,0
Jamal-Pogues-152993,085a230fc9e8aafb,Jamal Pogues,2,2-0,2019-08-20,decisionWin,6,2,0,crosswalk,CCW,tier4,,23,1,4,2,2,-10.3,,,0
Leon-Shahbazyan-158231,,Leon Shahbazyan,1,0-1,2019-08-20,noWin,,,,none,,,,,0,0,0,0,,,,0
Mallory-Martin-200771,e8537d08d84aaea2,Mallory Martin,1,1-0,2019-08-20,decisionWin,4,2,0,crosswalk,Invicta FC,tier2_5,1.0011,25,1,4,1,3,-10.6,1477.3,1467.1,0
Marcos-Brigagao-258879,,Marcos Brigagao,1,0-1,2019-08-20,noWin,,,,none,,,,,0,0,0,0,,,,0
Micol-DiSegni-171627,,Micol DiSegni,1,0-1,2019-08-20,noWin,,,,none,,,,,0,0,0,0,,,,0
