sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Ryan-Scope-20130,Ryan Scope,1,1,0.68,2020-10-10,beat Mickael Lebout (2017-12-15)
Dzhihad-Yunusov-145309,Dzhihad Yunusov,1,1,0.35,2020-10-04,beat Diego Brandao (2020-10-04)
Charlie-Leary-58464,Charlie Leary,1,3,0.68,2020-10-03,beat Kiefer Crosbie (2020-10-03)
Acoidan-Duque-76212,Acoidan Duque,1,1,0.68,2020-10-03,beat Carlo Pedersoli Jr. (2020-10-03)
Zhu-Rong-233823,Zhu Rong,1,0,0.35,2020-09-25,beat Shayilan Nuerdanbieke (2020-09-25)
Chi-LewisParry-91943,Chi Lewis-Parry,1,0,0.35,2020-09-25,beat Fabio Maldonado (2020-09-25)
Kelly-Clayton-232597,Kelly Clayton,1,0,0.55,2020-09-11,beat Hailey Cowan (2020-09-11)
Gabrielle-Holloway-107069,Gabrielle Holloway,1,1,0.68,2020-09-11,beat Alexis Dufresne (2017-03-03)
Henrique-Shiguemoto-74268,Henrique Shiguemoto,1,1,0.78,2020-09-08,beat Amilcar Alves (2018-11-17)
Daiane-Cardoso-253403,Daiane Cardoso,1,0,0.35,2020-09-04,beat Ketlen Souza (2020-09-04)
Josh-Hill-53662,Josh Hill,1,3,0.68,2020-08-21,beat Erik Perez (2020-08-21)
Cerisco-Fra-382346,Cerisco Fra,1,0,0.35,2020-08-12,beat Anying Wang (2020-08-12)
Bahatebole-Batebolati-382344,Bahatebole Batebolati,1,0,0.35,2020-08-12,beat Anying Wang (2020-08-12)
Jose-Flores-60457,Jose Flores,1,2,0.78,2020-08-04,beat Victor Martinez (2015-02-27)
Hiroyasu-Sakurai-227501,Hiroyasu Sakurai,1,0,0.55,2020-07-24,beat Toshiomi Kazama (2020-07-24)
Greg-Fischer-117203,Greg Fischer,1,1,0.55,2020-07-24,beat Carlos Vera (2019-04-06)
Yibugele-214343,Yibugele,1,2,0.35,2020-05-22,beat Shayilan Nuerdanbieke (2017-09-16)
