organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
AC,tier4,0.35,true,18,AC - Araucaria Combat 4
MMA Attack,tier4,0.35,true,18,MMA Attack 2 - Grabowski vs Sanchez
Dacheng Wuyi,tier4,0.35,true,18,Dacheng Wuyi - Chinese MMA Super League Season 9: Day 5
Warriors Quest,tier4,0.35,true,18,Warriors Quest 8 - Young Guns
EFX,tier4,0.35,true,18,EFX - Myth in Maplewood
MOTC,tier4,0.35,true,18,MOTC 16 - Masters of the Cage 16
RUF MMA,tier4,0.35,true,17,RUF MMA - Cage Rage on the River 2
UFL,tier4,0.35,true,17,UFL 8 - Ultimate Fight League 8
Spartacus MMA,tier4,0.35,true,17,Spartacus MMA - Arnold Fest South America Day 2
Octagon Promotion,tier4,0.35,true,17,Octagon Promotion - Octagon 36: Daudov vs. Abduvorisov
GFA,tier4,0.35,true,17,GFA - Gladiator Fighting Arena 13
PureCombat,tier4,0.35,true,17,PureCombat - Battle For The Brave
Combat USA,tier4,0.35,true,17,Combat USA - Wisconsin vs. Illinois Championship
Hoosier FC,tier4,0.35,true,17,Hoosier FC 7 - Validation
FG,tier4,0.35,true,17,FG 25 - Fighter Gala 25
Xtreme Fighting Championships,tier4,0.35,true,17,Xtreme Fighting Championships - XFC 54: Ascension
Fresquez Productions,tier4,0.35,true,17,Fresquez Productions - Jackson-Wink Fight Night 5
SCS,tier4,0.35,true,17,SCS 27 - Survival
IF,tier4,0.35,true,17,IF 6 - Imperio Fight 6
KOP,tier4,0.35,true,17,KOP 62 - KnockOut Promotions 62
TCF,tier4,0.35,true,17,TCF - TriState Cage Fights
Rebel FC,tier4,0.35,true,17,Rebel FC 4 - Battle Royale Ascension
MFS,tier4,0.35,true,17,MFS - Midwest Fight Series 5
ADW,tier4,0.35,true,17,ADW  - Abu Dhabi Warriors 3
RITR,tier4,0.35,true,17,RITR - Rumble in the Rockies
SS,tier4,0.35,true,17,SS - Sportfight Scotland 14
TF,tier4,0.35,true,16,TF - Triton Fights 18
PC,tier4,0.35,true,16,PC - Precol Combat 13
NLFC,tier4,0.35,true,16,NLFC - Next Level Fight Club 7
MEZ Sports,tier4,0.35,true,16,MEZ Sports - Pandemonium 9
Samurai FC,tier4,0.35,true,16,Samurai FC 7 - Peace and War
MMA Series,tier4,0.35,true,16,MMA Series 64 - Dyakonov vs. Solorzano
WLMMA,tier4,0.35,true,16,WLMMA - We Love MMA 24
Jewels,tier4,0.35,true,16,Jewels - 23rd Ring
Throwdown Showdown,tier4,0.35,true,16,Throwdown Showdown 2 - The Return
Crowbar MMA,tier4,0.35,true,16,Crowbar MMA - Fall Brawl
BoB,tier4,0.35,true,16,BoB - Battle of Botnia 2015
United Glory,tier4,0.35,true,16,United Glory - 2012 Glory World Series
GF,tier4,0.35,true,16,GF - Golden Fighters 8
UF,tier4,0.35,true,16,UF - Urkarakh Fights
USMMA,tier4,0.35,true,16,USMMA 2 - Ring of Fury
UCFC,tier4,0.35,true,16,UCFC 5 - Legends of MMA
KnuckleUp MMA,tier4,0.35,true,16,KnuckleUp MMA 4 - Origins
MB,tier4,0.35,true,16,MB 8 - Millennium Brawl 8
APEX,tier4,0.35,true,16,APEX - Undisputed
GR,tier4,0.35,true,16,GR 24 - Goshin Ryu 24
AOF,tier4,0.35,true,16,AOF 7 - Support for Haiti
Fight On MMA,tier4,0.35,true,15,Fight On MMA - Fight On 3
FA,tier4,0.35,true,15,FA - Fatality Arena 10
Fusion Fight League,tier4,0.35,true,15,Fusion Fight League - Season's Beatings
Katana Fight,tier4,0.35,true,15,Katana Fight 10 - Roverso vs. Henrique
Warfare,tier4,0.35,true,15,Warfare 19 - Warfare Fight Night
RFP,tier4,0.35,true,15,RFP 53 - West Fight 23
FFI,tier4,0.35,true,15,FFI - Blood and Sand 20
iFF,tier4,0.35,true,15,iFF 6 - iKon Fighting Federation 6
Disorderly Conduct,tier4,0.35,true,15,Disorderly Conduct 15 - Resolution
FM,tier4,0.35,true,15,FM - Productions
ICF,tier4,0.35,true,15,ICF 26 - The Perfect Storm
VF,tier4,0.35,true,15,VF - Vila Fight
