canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
66625705042e3e34,Ji Yeon Kim,South Korea,,,ji-yeon-kim
67d0649cbcca4b0d,Jessica-Rose Clark,Australia,,,jessica-rose-clark
3fda9f65c223aa68,Journey Newson,United States,,,journey-newson
6548b398e3d39f7f,Batgerel Danaa,Mongolia,,,danaa-batgerel
127d33414821076e,Zak Cummings,United States,,,zak-cummings
fda46d5a07b62c2d,Ed Herman,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Ed%20Herman%202022%20%28cropped%29.jpg?width=400,Wikimedia Commons (verify per-file),ed-herman
34d38cbb8609aaa8,Aaron Phillips,United States,,,aaron-phillips
c1173e915abc963f,Jorge Masvidal,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Jorge%20Masvidal%202022.png?width=400,Wikimedia Commons (verify per-file),jorge-masvidal
f61afe64bddc9294,Cynthia Calvillo,United States,,,cynthia-calvillo
9d03eaf7a17b94a3,Steven Peterson,United States,,,steven-peterson
8019e2ad75c010a4,Makwan Amirkhani,Finland,,,makwan-amirkhani
0aa3f2867f59903c,Omar Morales,Venezuela,,,omar-morales
faba7f0f67d88f35,Guido Cannetti,Argentina,https://commons.wikimedia.org/wiki/Special:FilePath/Guido%20Cannetti%20-%202014.jpg?width=400,Wikimedia Commons (verify per-file),guido-cannetti
9594c184c4d83b7e,Raphael Assuncao,Brazil,,,raphael-assuncao
e3c4bca51aa2bdd4,Tony Gravely,United States,,,tony-gravely
4e9acaeebe49bd23,Trevin Jones,United States,,,trevin-jones
793a0a521e0b9ff7,Derek Brunson,United States,,,derek-brunson
3e1f496aca017284,Augusto Sakai,Brazil,,,augusto-sakai
9492268d8774c0a4,Jordan Wright,United States,,,jordan-wright
08b1e6f4c8b49a3c,William Knight,United States,,,william-knight
0dbc2b27f95b406a,Lina Lansberg,Sweden,https://commons.wikimedia.org/wiki/Special:FilePath/Lina%20L%C3%A4nsberg%20at%20UFC%20229.jpg?width=400,Wikimedia Commons (verify per-file),lina-lansberg
ede79ed0a9e69d05,Khusein Askhabov,France,,,
892f9bf53bd1ac3b,Zubaira Tukhugov,Russia,,,zubaira-tukhugov
491ab1255e4baf78,Glover Teixeira,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/Glover%20Teixeira.jpg?width=400,Wikimedia Commons (verify per-file),glover-teixeira
f17ac6ab2aefbdc9,Mauricio Rua,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/MauricioRua.png?width=400,Wikimedia Commons (verify per-file),mauricio-rua
389c9f320df4a0aa,Mounir Lazzez,Tunisia,https://commons.wikimedia.org/wiki/Special:FilePath/Mounir%20lazzez%20VS%20Dmitrijs%20Homjakovs.jpg?width=400,Wikimedia Commons (verify per-file),mounir-lazzez
