normalized_name,source,canonical_id
manuel torres,ufc,aef0ff28e0e41917
nazim sadykhov,ufc,f0427fab32e0994a
fares ziam,ufc,72d51391d67206b8
marvin vettori,ufc,e51574999ccf6b8f
edson barboza,ufc,2361865e12089b38
jalin turner,ufc,e411d4112ff57cb3
ibo aslan,ufc,62055b2fd8a10789
muhammad naimov,ufc,56adb35526c59c88
mairon santos,ufc,96b8d95c6822ab2b
arman tsarukyan,ufc,1c2caae133a1f406
belal muhammad,ufc,dd22fdf9ce2b85b6
ian machado garry,ufc,302c7dcb0fec325e
volkan oezdemir,ufc,86c8b5612d28c278
alonzo menifield,ufc,990efe1105080c68
jack hermansson,ufc,80fe8fdac1ec7339
tagir ulanbekov,ufc,b4e998ae245c303e
bogdan grad,ufc,c15f8ac4d76af53a
nicolas dalby,ufc,c265d59bcf8b1327
saygid izagakhmaev,ufc,52e90de4305c8afb
asu almabayev,ufc,31bcb5ce3debb8df
rafael cerqueira,ufc,69e0fe6cb117835d
bekzat almakhan,ufc,d29f0772d1082463
aleksandre topuria,ufc,d7d6ffc0db64fe1e
ismail naurdiev,ufc,3a0f7fd1dbd0ce0b
ryan loder,ufc,085a46245fae5aeb
nurullo aliev,ufc,9c6d0c42a7a85b51
marek bujlo,ufc,fb7eb92e46f18cc6
islam makhachev,ufc,78f73bfd71449931
valentina shevchenko,ufc,db8b8bd90a46f35f
zhang weili,ufc,934bd39fbb77e527
michael morales,ufc,5561fca8c897f0bf
leon edwards,ufc,e3e2d12252710b60
bo nickal,ufc,9a841327b5d824c6
erin blanchfield,ufc,aaa797b5b8da777b
tracy cortez,ufc,f23f5caaf463e283
kyle daukaus,ufc,adc254e5ba385928
chepe mariscal,ufc,9676911f60bd8e0e
angela hill,ufc,dddaac197e3946ca
fatima kline,ufc,989a52c826c894ee
viacheslav borshchev,ufc,81755efcce2cc326
matheus camilo,ufc,1ec908c218b0c556
gabriel bonfim,ufc,03b527306e0b57c8
matt schnell,ufc,f1bfcaa7394010b5
joseph morales,ufc,f7f904ccafae5749
muslim salikhov,ufc,f2154a77e666997c
ismael bonfim,ufc,20fbdf9a7df6c950
hyder amil,ufc,44b3eeff33faf035
jamall emmers,ufc,d42c88019231799d
max gimenis,ufc,10edabc9cbd7fb2e
tecia pennington,ufc,b228d39d964f5931
denise gomes,ufc,092a12fbdcf12ad3
miles johns,ufc,e011a97f57726d2d
daniel marcos,ufc,fe96fd653f562e98
steve garcia,ufc,a49129adb0dad63b
david onama,ufc,5ae43941a38cb123
jeremiah wells,ufc,541d80991428244f
isaac dulgarian,ufc,a7401a8e25c733b5
daniel frunza,ufc,d9935a239ea022f2
allan nascimento,ufc,5138742df3096e35
changho lee,ufc,f8c6211e746d7dd5
montserrat conejo ruiz,ufc,e18cfacb68119a4b
seokhyeon ko,ufc,55fc81a9753e8a87
ariane carnelossi,ufc,ede82a372dc9444c
tom aspinall,ufc,c84679ced7c8f6a2
ciryl gane,ufc,d405f6e1594c44db
mackenzie dern,ufc,1868597de911ab05
aleksandar rakic,ufc,07d8dcdbf698e6e0
nasrat haqparast,ufc,f871be2f77817a9f
ikram aliskerov,ufc,331d3f58e32980ad
junyong park,ufc,f38e417c84745f67
ludovit klein,ufc,aa788df7587f1357
valter walker,ufc,c351fa759a6f4223
hamdy abdelwahab,ufc,256d0018d9869d0a
chris barnett,ufc,ce9a9453272c9963
azat maksum,ufc,80fff92139ea4fad
mitch raposo,ufc,018e6efa6f1415a9
jaqueline amorim,ufc,1930fd17e9ee8a27
mizuki,ufc,2ed6f3c1f715f23d
brendan allen,ufc,58b6dee880eed3f4
aiemann zahabi,ufc,a5430ac842baa304
manon fiorot,ufc,0084e6f1dce86e4c
matt frevola,ufc,c9d2ae98d9f6ab30
kyle prepolec,ufc,580a21f49d3aaafb
cody gibson,ufc,f715b9333acbb20a
aoriqileng,ufc,14d7083ccbe8c09e
hyunsung park,ufc,ada98c070f3899ef
danny barlow,ufc,77f853c4d44cbe94
stephanie luciano,ufc,3285bd6966dffe99
tainara lisboa,ufc,1a133fa4bd27aca5
jhonata diniz,ufc,460b5fa5b94b70bd
ricardo ramos,ufc,df042c10104fc58f
lucas almeida,ufc,5adc666e571b3cb1
irina alekseeva,ufc,98b743255b1f5f64
lucas rocha,ufc,ee66f8d0ba75975e
karolina kowalkiewicz,ufc,21a656cdfc9d8398
saimon oliveira,ufc,d892963e78a574fb
magomed ankalaev,ufc,69646a0ad3abb8c7
alex pereira,ufc,a38373934b735770
cory sandhagen,ufc,bf88971d31a1367b
khalil rountree jr,ufc,2cc62c24e03e31f1
abus magomedov,ufc,1be0a07a75aba8b6
treston vines,ufc,1380bf7bbf61d6f1
joosang yoo,ufc,0340977ba43f8013
patchy mix,ufc,fe17d41e2b27900b
edmen shahbazyan,ufc,f4544d57a0c93b7c
andre muniz,ufc,74fd8194bb19e2bf
yana santos,ufc,d8b0f82a920de5ac
chris gutierrez,ufc,e9c6e0620732ca67
austin vanderford,ufc,2d0d405ad62b34b7
veronica hardy,ufc,f0a323d30b06e3a8
brogan walker,ufc,545699be41b1d282
jimmy crute,ufc,a1fe00d04609986b
jack jenkins,ufc,0aa46064d6a157d1
ramon taveras,ufc,9dd44108e3e1b102
jake matthews,ufc,be2f4c42148aaa0d
tom nolan,ufc,23819db9f489592d
charlie campbell,ufc,5f4c5e8ccdbba00e
rolando bedoya,ufc,fda075b76a0a756d
josias musasa,ufc,ef4f913e6a99246b
luana carolina,ufc,64d5a5e924312934
elisha ellison,ufc,5ffade352e5b635f
loma lookboonmee,ufc,2b4f0961dd196d20
dustin stoltzfus,ufc,be354104b1b893f1
diego ferreira,ufc,92120440fcb28c7e
quang le,ufc,1246b3a3b6fa36e9
dusko todorovic,ufc,cf44ab1ffc00f165
claudio puelles,ufc,13eb15beb712bc60
joaquim silva,ufc,f58b474bf5d86e5f
rodrigo sezinando,ufc,6fb01bd765a34f04
nassourdine imavov,ufc,4a39d90a99b006dd
paul craig,ufc,ec887ad9a414aff9
rhys mckee,ufc,56e42e6d26cbf604
kaue fernandes,ufc,488201b31f04d4b7
trey waters,ufc,147266d98ca2813f
andreas gustafsson,ufc,34ad7cf2c5f49b2a
rinat fakhretdinov,ufc,86dc7b9318febf9b
zhang mingyang,ufc,81d3fc0435cfe7ac
brian ortega,ufc,3f3f90729e314479
sergei pavlovich,ufc,d38d32acdb6c8ac2
taiyilake nueraji,ufc,28006e300df5b0f3
kiefer crosbie,ufc,ca1de23adece5efa
maheshate,ufc,fab54d525f0f2d9d
rongzhu,ufc,38460724e5eca228
austin hubbard,ufc,c9b59e3c8b7043f8
westin wilson,ufc,7635e954d6479094
uran satybaldiev,ufc,14d9402cd3d121ac
dricus du plessis,ufc,7000b0fb9e20419a
jared cannonier,ufc,fef78cb6d5f39398
kai asakura,ufc,74bb53e7099cb5b9
eric nolan,ufc,9c88a670ebba5427
jessica andrade,ufc,e2acd498178b7fbd
drakkar klose,ufc,51e7d13b7f729c50
iasmin lucindo,ufc,49c2ef91fb4491f6
