canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
648681e769190015,Kevin Ferguson,,Heavyweight,Male,1,1,0,2,"6' 2""",Orthodox,Kevin-Ferguson-22388,Kevin Ferguson
42fc1a6d327c7a94,Jonathan Goulet,,Welterweight,Male,4,5,0,9,"6' 0""",Orthodox,Jonathan-Goulet-4120,Jonathan Goulet
13cc53e6e9057c87,Yoshiyuki Yoshida,,Welterweight,Male,2,3,0,5,"5' 11""",Southpaw,Yoshiyuki-Yoshida-12073,Yoshiyuki Yoshida
0e1583638d7465ef,Renzo Gracie,,Welterweight,Male,0,1,0,1,"5' 10""",Orthodox,Renzo-Gracie-290,Renzo Gracie
79d9a83760535761,Brad Blackburn,,Welterweight,Male,3,2,0,5,"5' 10""",Orthodox,Brad-Blackburn-2920,Brad Blackburn
06594882edcdbd64,Matt Veach,,Lightweight,Male,1,2,0,3,"5' 11""",Orthodox,Matt-Veach-23350,Matt Veach
922abb12f676eae9,Mostapha Al-Turk,,Heavyweight,Male,0,3,0,3,"6' 2""",Orthodox,Mostapha-AlTurk-8224,Mostapha Al-Turk
c6c9976cdbc48b02,Nate Quarry,,Middleweight,Male,7,3,0,10,"6' 0""",Open Stance,Nate-Quarry-2383,Nate Quarry
82f9a9026c50c694,Ronys Torres,,Lightweight,Male,0,2,0,2,"5' 7""",Orthodox,Ronys-Torres-20447,Ronys Torres
c920244eb65831d7,Rob Emerson,,Lightweight,Male,3,3,0,7,"5' 9""",Orthodox,Robert-Emerson-5286,Rob Emerson
8952bf8b15d94b02,Caol Uno,,Lightweight,Male,3,5,2,10,"5' 7""",Southpaw,Caol-Uno-283,Caol Uno
867ead327f2b9b0d,Lucio Linhares,,Middleweight,Male,0,2,0,2,"6' 2""",Orthodox,Lucio-Linhares-10543,Lucio Linhares
1e45716ba21dd991,Rory Markham,,Welterweight,Male,1,2,0,3,"6' 0""",Orthodox,Rory-Markham-10768,Rory Markham
8ea4a79e681edfac,Paul Buentello,,Heavyweight,Male,3,3,0,6,"6' 2""",Orthodox,Paul-Buentello-347,Paul Buentello
0288ecddd7032852,Shannon Gugerty,,Lightweight,Male,2,3,0,5,"5' 10""",Orthodox,Shannon-Gugerty-11001,Shannon Gugerty
aabe54dfc86a25a8,Chase Gormley,,Heavyweight,Male,0,2,0,2,"6' 3""",Orthodox,Chase-Gormley-22247,Chase Gormley
aa6cc497bf0d7fed,Mark Coleman,,Heavyweight,Male,7,5,0,12,"6' 1""",Orthodox,Mark-Coleman-136,Mark Coleman
37f3f34cf57d0194,Frank Trigg,,Welterweight,Male,2,5,0,7,"5' 9""",Southpaw,Frank-Trigg-311,Frank Trigg
a404f9759e008969,Justin Buchholz,,Lightweight,Male,1,4,0,5,"6' 0""",Orthodox,Justin-Buchholz-18062,Justin Buchholz
849571af07ca8e30,Rolles Gracie,,Heavyweight,Male,0,1,0,1,"6' 4""",Orthodox,Rolles-Gracie-24217,Rolles Gracie
